grinch: .word 16, 16
.byte 199,199,199,199,199,199,0,255,15,15,15,0,199,199,199,199,
199,199,199,199,199,199,0,105,255,15,0,15,0,199,199,199,
199,199,199,199,199,0,105,105,105,255,0,0,255,0,199,199,
199,199,199,199,199,0,97,105,105,105,0,199,0,199,199,199,
199,199,199,199,199,199,0,255,255,0,199,199,199,199,199,199,
199,0,0,0,0,0,15,15,15,15,0,0,0,199,199,199,
0,105,255,15,15,15,15,15,15,15,15,15,15,0,199,199,
199,0,0,0,0,15,15,15,15,15,15,0,15,0,199,199,
199,199,199,199,0,15,255,255,255,255,15,0,0,255,0,199,
199,199,199,199,0,255,105,105,105,105,255,0,199,0,105,0,
199,199,199,199,0,105,105,105,105,105,105,0,199,199,0,199,
199,199,199,199,199,0,105,105,105,105,0,199,199,199,199,199,
199,199,199,199,199,0,105,0,0,105,0,199,199,199,199,199,
199,199,199,199,199,0,255,0,0,255,0,199,199,199,199,199,
199,199,199,199,0,15,15,0,0,15,15,0,199,199,199,199,
199,199,199,199,199,0,0,199,199,0,0,199,199,199,199,199,


