gremlin: .word 16, 16
.byte 207,207,207,207,207,0,0,0,0,0,207,207,207,207,207,207,
0,0,0,207,0,10,10,10,10,10,0,207,207,0,0,0,
103,103,103,0,10,10,10,10,10,10,10,0,0,103,103,103,
0,103,103,10,10,10,173,10,173,10,10,10,0,103,103,0,
207,0,103,10,10,173,173,10,173,103,10,10,0,103,0,207,
207,207,0,0,10,103,103,103,103,103,103,0,207,0,207,207,
207,207,207,207,0,103,103,0,103,103,0,207,207,207,207,207,
207,207,207,0,0,0,103,103,103,0,0,0,207,207,207,207,
207,0,0,10,10,0,0,0,0,0,10,10,0,0,207,207,
0,173,10,10,10,10,10,173,10,10,10,10,10,173,0,207,
0,173,173,0,10,10,173,173,173,10,10,0,173,173,0,207,
0,173,103,0,10,173,173,173,173,173,10,0,103,173,0,207,
207,0,0,0,173,173,173,173,173,173,173,0,0,0,207,207,
207,207,0,173,173,173,173,0,173,173,173,173,0,207,207,207,
207,0,103,103,103,103,0,207,0,103,103,103,103,0,207,207,
207,207,0,0,0,0,207,207,207,0,0,0,0,207,207,207,


